Account Number,Date,Amount (£),,,,,,,,,
RWC493,16/06/2025,£4,,,,,,,,,
RWC340,21/08/2024,5,,,,,,,,,
RWC560,01/07/2025,£5,,,,,,,,,
RWC340,09/01/2025,6,,,,,,,,,
RWC413,13/05/2025,£6,,,,,,,,,
RWC413,10/06/2025,£6,,,,,,,,,
RWC79,16/09/2024,6,,,,,,,,,
RWC79,30/01/2025,6,,,,,,,,,
RWC399,03/07/2025,£7,,,,,,,,,
RWC63,10/10/2024,7,,,,,,,,,
RWC96,16/09/2024,7,,,,,,,,,
RWC382,25/11/2024,7.5,,,,,,,,,
RWC382,13/01/2025,7.5,,,,,,,,,
RWC382,13/02/2025,7.5,,,,,,,,,
RWC382,13/03/2025,7.5,,,,,,,,,
RWC382,10/04/2025,£8,,,,,,,,,
RWC48,02/09/2024,7.5,,,,,,,,,
RWC48,24/09/2024,7.5,,,,,,,,,
RWC48,29/10/2024,7.5,,,,,,,,,
RWC48,22/11/2024,7.5,,,,,,,,,
RWC48,11/02/2025,7.5,,,,,,,,,
RWC48,08/04/2025,£8,,,,,,,,,
RWC99,17/12/2024,7.5,,,,,,,,,
RWC9,20/08/2024,8,,,,,,,,,
RWC9,17/09/2024,8,,,,,,,,,
RWC9,15/10/2024,8,,,,,,,,,
RWC9,12/11/2024,8,,,,,,,,,
RWC9,05/12/2024,8,,,,,,,,,
RWC9,07/01/2025,8,,,,,,,,,
RWC9,30/01/2025,8,,,,,,,,,
RWC9,04/03/2025,8,,,,,,,,,
RWC9,01/04/2025,£8,,,,,,,,,
RWC9,28/04/2025,£8,,,,,,,,,
RWC9,26/05/2025,£8,,,,,,,,,
RWC9,23/06/2025,£8,,,,,,,,,
RWC96,19/08/2024,8,,,,,,,,,
RWC362,12/05/2025,£9,,,,,,,,,
RWC374,09/01/2025,9,,,,,,,,,
RWC374,29/04/2025,£9,,,,,,,,,
RWC375,13/09/2024,9,,,,,,,,,
RWC375,24/04/2025,£9,,,,,,,,,
RWC429,29/01/2025,9,,,,,,,,,
RWC429,26/03/2025,£9,,,,,,,,,
RWC452,08/05/2025,£9,,,,,,,,,
RWC475,17/04/2025,£9,,,,,,,,,
RWC500,27/03/2025,£9,,,,,,,,,
RWC526,05/05/2025,£9,,,,,,,,,
RWC423,19/02/2025,10,,,,,,,,,
RWC423,19/03/2025,10,,,,,,,,,
RWC433,24/02/2025,10,,,,,,,,,
RWC433,22/04/2025,£10,,,,,,,,,
RWC433,19/05/2025,£10,,,,,,,,,
RWC433,16/06/2025,£10,,,,,,,,,
RWC525,01/05/2025,£10,,,,,,,,,
RWC348,22/08/2024,12,,,,,,,,,
RWC348,18/09/2024,12,,,,,,,,,
RWC348,16/10/2024,12,,,,,,,,,
RWC348,14/11/2024,12,,,,,,,,,
RWC348,10/12/2024,12,,,,,,,,,
RWC348,09/01/2025,12,,,,,,,,,
RWC348,05/02/2025,12,,,,,,,,,
RWC348,06/03/2025,12,,,,,,,,,
RWC348,03/04/2025,£12,,,,,,,,,
RWC35,18/12/2024,12,,,,,,,,,
RWC35,21/01/2025,12,,,,,,,,,
RWC35,18/02/2025,12,,,,,,,,,
RWC35,18/03/2025,12,,,,,,,,,
RWC359,13/08/2024,12,,,,,,,,,
RWC359,09/09/2024,12,,,,,,,,,
RWC359,09/10/2024,12,,,,,,,,,
RWC359,06/11/2024,12,,,,,,,,,
RWC359,03/12/2024,12,,,,,,,,,
RWC359,02/01/2025,12,,,,,,,,,
RWC359,28/01/2025,12,,,,,,,,,
RWC359,25/02/2025,12,,,,,,,,,
RWC359,25/03/2025,£12,,,,,,,,,
RWC359,23/04/2025,£12,,,,,,,,,
RWC359,20/05/2025,£12,,,,,,,,,
RWC359,17/06/2025,£12,,,,,,,,,
RWC361,13/08/2024,12,,,,,,,,,
RWC361,09/09/2024,12,,,,,,,,,
RWC361,09/10/2024,12,,,,,,,,,
RWC361,06/11/2024,12,,,,,,,,,
RWC361,03/12/2024,12,,,,,,,,,
RWC361,02/01/2025,12,,,,,,,,,
RWC361,28/01/2025,12,,,,,,,,,
RWC361,25/02/2025,12,,,,,,,,,
RWC361,25/03/2025,£12,,,,,,,,,
RWC361,23/04/2025,£12,,,,,,,,,
RWC361,20/05/2025,£12,,,,,,,,,
RWC361,17/06/2025,£12,,,,,,,,,
RWC365,14/08/2024,12,,,,,,,,,
RWC365,10/10/2024,12,,,,,,,,,
RWC365,06/11/2024,12,,,,,,,,,
RWC365,09/11/2024,12,,,,,,,,,
RWC365,04/12/2024,12,,,,,,,,,
RWC365,02/01/2025,12,,,,,,,,,
RWC365,25/03/2025,£12,,,,,,,,,
RWC365,23/04/2025,£12,,,,,,,,,
RWC365,20/05/2025,£12,,,,,,,,,
RWC367,13/08/2024,12,,,,,,,,,
RWC367,09/09/2024,12,,,,,,,,,
RWC367,09/10/2024,12,,,,,,,,,
RWC367,08/11/2024,12,,,,,,,,,
RWC367,02/12/2024,12,,,,,,,,,
RWC367,31/12/2024,12,,,,,,,,,
RWC367,28/01/2025,12,,,,,,,,,
RWC367,25/02/2025,12,,,,,,,,,
RWC367,24/03/2025,£12,,,,,,,,,
RWC377,02/08/2024,12,,,,,,,,,
RWC377,30/08/2024,12,,,,,,,,,
RWC377,25/09/2024,12,,,,,,,,,
RWC377,25/10/2024,12,,,,,,,,,
RWC377,25/11/2024,12,,,,,,,,,
RWC377,16/12/2024,12,,,,,,,,,
RWC377,13/01/2025,12,,,,,,,,,
RWC377,13/02/2025,12,,,,,,,,,
RWC377,13/03/2025,12,,,,,,,,,
RWC377,10/04/2025,£12,,,,,,,,,
RWC377,08/05/2025,£12,,,,,,,,,
RWC377,04/06/2025,£12,,,,,,,,,
RWC377,03/07/2025,£12,,,,,,,,,
RWC384,19/08/2024,12,,,,,,,,,
RWC384,16/09/2024,12,,,,,,,,,
RWC384,15/10/2024,12,,,,,,,,,
RWC384,12/11/2024,12,,,,,,,,,
RWC384,09/12/2024,12,,,,,,,,,
RWC384,07/01/2025,12,,,,,,,,,
RWC384,30/01/2025,12,,,,,,,,,
RWC384,03/03/2025,12,,,,,,,,,
RWC384,28/04/2025,£12,,,,,,,,,
RWC384,26/05/2025,£12,,,,,,,,,
RWC384,23/06/2025,£12,,,,,,,,,
RWC394,30/08/2024,12,,,,,,,,,
RWC394,25/09/2024,12,,,,,,,,,
RWC394,25/10/2024,12,,,,,,,,,
RWC405,19/09/2024,12,,,,,,,,,
RWC405,16/10/2024,12,,,,,,,,,
RWC405,14/11/2024,12,,,,,,,,,
RWC405,10/12/2024,12,,,,,,,,,
RWC405,09/01/2025,12,,,,,,,,,
RWC405,05/02/2025,12,,,,,,,,,
RWC405,04/03/2025,12,,,,,,,,,
RWC405,02/04/2025,£12,,,,,,,,,
RWC405,29/04/2025,£12,,,,,,,,,
RWC405,27/05/2025,£12,,,,,,,,,
RWC405,25/06/2025,£12,,,,,,,,,
RWC406,09/10/2024,12,,,,,,,,,
RWC406,08/11/2024,12,,,,,,,,,
RWC406,03/12/2024,12,,,,,,,,,
RWC406,31/12/2024,12,,,,,,,,,
RWC406,28/01/2025,12,,,,,,,,,
RWC406,25/02/2025,12,,,,,,,,,
RWC406,25/03/2025,£12,,,,,,,,,
RWC409,25/09/2024,12,,,,,,,,,
RWC409,24/10/2024,12,,,,,,,,,
RWC409,26/11/2024,12,,,,,,,,,
RWC409,12/12/2024,12,,,,,,,,,
RWC409,15/01/2025,12,,,,,,,,,
RWC409,12/02/2025,12,,,,,,,,,
RWC409,12/03/2025,12,,,,,,,,,
RWC41,19/08/2024,12,,,,,,,,,
RWC41,16/09/2024,12,,,,,,,,,
RWC41,15/10/2024,12,,,,,,,,,
RWC41,12/11/2024,12,,,,,,,,,
RWC41,09/12/2024,12,,,,,,,,,
RWC41,07/01/2025,12,,,,,,,,,
RWC41,30/01/2025,12,,,,,,,,,
RWC41,03/03/2025,12,,,,,,,,,
RWC41,28/04/2025,£12,,,,,,,,,
RWC41,26/05/2025,£12,,,,,,,,,
RWC41,23/06/2025,£12,,,,,,,,,
RWC413,31/10/2024,12,,,,,,,,,
RWC413,28/11/2024,12,,,,,,,,,
RWC413,18/12/2024,12,,,,,,,,,
RWC413,21/01/2025,12,,,,,,,,,
RWC413,19/02/2025,12,,,,,,,,,
RWC413,18/03/2025,12,,,,,,,,,
RWC413,16/04/2025,£12,,,,,,,,,
RWC413,08/07/2025,£12,,,,,,,,,
RWC416,14/11/2024,12,,,,,,,,,
RWC416,10/12/2024,12,,,,,,,,,
RWC416,09/01/2025,12,,,,,,,,,
RWC416,05/02/2025,12,,,,,,,,,
RWC416,04/03/2025,12,,,,,,,,,
RWC416,02/04/2025,£12,,,,,,,,,
RWC416,29/04/2025,£12,,,,,,,,,
RWC416,27/05/2025,£12,,,,,,,,,
RWC416,25/06/2025,£12,,,,,,,,,
RWC418,14/11/2024,12,,,,,,,,,
RWC418,10/12/2024,12,,,,,,,,,
RWC418,09/01/2025,12,,,,,,,,,
RWC418,05/02/2025,12,,,,,,,,,
RWC418,04/03/2025,12,,,,,,,,,
RWC418,02/04/2025,£12,,,,,,,,,
RWC418,29/04/2025,£12,,,,,,,,,
RWC418,27/05/2025,£12,,,,,,,,,
RWC418,25/06/2025,£12,,,,,,,,,
RWC448,11/03/2025,12,,,,,,,,,
RWC448,10/04/2025,£12,,,,,,,,,
RWC448,08/05/2025,£12,,,,,,,,,
RWC448,04/06/2025,£12,,,,,,,,,
RWC448,03/07/2025,£12,,,,,,,,,
RWC45,19/08/2024,12,,,,,,,,,
RWC45,16/09/2024,12,,,,,,,,,
RWC45,15/10/2024,12,,,,,,,,,
RWC45,12/11/2024,12,,,,,,,,,
RWC45,09/12/2024,12,,,,,,,,,
RWC45,07/01/2025,12,,,,,,,,,
RWC45,30/01/2025,12,,,,,,,,,
RWC45,03/03/2025,12,,,,,,,,,
RWC45,28/04/2025,£12,,,,,,,,,
RWC45,26/05/2025,£12,,,,,,,,,
RWC45,23/06/2025,£12,,,,,,,,,
RWC458,12/05/2025,£12,,,,,,,,,
RWC46,12/08/2024,12,,,,,,,,,
RWC46,10/09/2024,12,,,,,,,,,
RWC46,08/10/2024,12,,,,,,,,,
RWC46,05/11/2024,12,,,,,,,,,
RWC46,02/12/2024,12,,,,,,,,,
RWC46,31/12/2024,12,,,,,,,,,
RWC46,27/01/2025,12,,,,,,,,,
RWC46,24/02/2025,12,,,,,,,,,
RWC46,24/03/2025,£12,,,,,,,,,
RWC46,21/04/2025,£12,,,,,,,,,
RWC46,19/05/2025,£12,,,,,,,,,
RWC46,16/06/2025,£12,,,,,,,,,
RWC47,19/08/2024,12,,,,,,,,,
RWC47,16/09/2024,12,,,,,,,,,
RWC47,15/10/2024,12,,,,,,,,,
RWC47,12/11/2024,12,,,,,,,,,
RWC47,09/12/2024,12,,,,,,,,,
RWC47,07/01/2025,12,,,,,,,,,
RWC47,30/01/2025,12,,,,,,,,,
RWC47,03/03/2025,12,,,,,,,,,
RWC47,28/04/2025,£12,,,,,,,,,
RWC47,26/05/2025,£12,,,,,,,,,
RWC47,23/06/2025,£12,,,,,,,,,
RWC489,28/04/2025,£12,,,,,,,,,
RWC489,26/05/2025,£12,,,,,,,,,
RWC489,23/06/2025,£12,,,,,,,,,
RWC49,06/08/2024,12,,,,,,,,,
RWC49,01/10/2024,12,,,,,,,,,
RWC49,28/11/2024,12,,,,,,,,,
RWC49,21/01/2025,12,,,,,,,,,
RWC49,17/03/2025,12,,,,,,,,,
RWC493,27/03/2025,£12,,,,,,,,,
RWC493,19/05/2025,£12,,,,,,,,,
RWC497,21/04/2025,£12,,,,,,,,,
RWC497,19/05/2025,£12,,,,,,,,,
RWC497,16/06/2025,£12,,,,,,,,,
RWC5,07/08/2024,12,,,,,,,,,
RWC5,05/09/2024,12,,,,,,,,,
RWC5,02/10/2024,12,,,,,,,,,
RWC5,31/10/2024,12,,,,,,,,,
RWC5,28/11/2024,12,,,,,,,,,
RWC5,18/12/2024,12,,,,,,,,,
RWC5,21/01/2025,12,,,,,,,,,
RWC5,18/02/2025,12,,,,,,,,,
RWC5,18/03/2025,12,,,,,,,,,
RWC505,22/04/2025,£12,,,,,,,,,
RWC505,19/05/2025,£12,,,,,,,,,
RWC505,16/06/2025,£12,,,,,,,,,
RWC568,13/06/2025,£12,,,,,,,,,
RWC568,08/07/2025,£12,,,,,,,,,
RWC572,13/06/2025,£12,,,,,,,,,
RWC572,10/07/2025,£12,,,,,,,,,
RWC575,13/06/2025,£12,,,,,,,,,
RWC575,08/07/2025,£12,,,,,,,,,
RWC576,25/06/2025,£12,,,,,,,,,
RWC589,23/06/2025,£12,,,,,,,,,
RWC594,13/06/2025,£12,,,,,,,,,
RWC594,08/07/2025,£12,,,,,,,,,
RWC66,12/08/2024,12,,,,,,,,,
RWC66,08/10/2024,12,,,,,,,,,
RWC66,09/10/2024,12,,,,,,,,,
RWC66,05/11/2024,12,,,,,,,,,
RWC66,02/12/2024,12,,,,,,,,,
RWC66,31/12/2024,12,,,,,,,,,
RWC66,27/01/2025,12,,,,,,,,,
RWC66,24/02/2025,12,,,,,,,,,
RWC66,24/03/2025,£12,,,,,,,,,
RWC66,21/04/2025,£12,,,,,,,,,
RWC66,19/05/2025,£12,,,,,,,,,
RWC66,16/06/2025,£12,,,,,,,,,
RWC67,12/08/2024,12,,,,,,,,,
RWC67,08/10/2024,12,,,,,,,,,
RWC67,09/10/2024,12,,,,,,,,,
RWC67,05/11/2024,12,,,,,,,,,
RWC67,02/12/2024,12,,,,,,,,,
RWC67,31/12/2024,12,,,,,,,,,
RWC67,27/01/2025,12,,,,,,,,,
RWC67,24/02/2025,12,,,,,,,,,
RWC67,24/03/2025,£12,,,,,,,,,
RWC67,22/04/2025,£12,,,,,,,,,
RWC67,19/05/2025,£12,,,,,,,,,
RWC67,16/06/2025,£12,,,,,,,,,
RWC69,12/08/2024,12,,,,,,,,,
RWC69,08/10/2024,12,,,,,,,,,
RWC69,09/10/2024,12,,,,,,,,,
RWC69,05/11/2024,12,,,,,,,,,
RWC69,02/12/2024,12,,,,,,,,,
RWC69,31/12/2024,12,,,,,,,,,
RWC69,27/01/2025,12,,,,,,,,,
RWC69,24/02/2025,12,,,,,,,,,
RWC69,24/03/2025,£12,,,,,,,,,
RWC7,07/08/2024,12,,,,,,,,,
RWC7,05/09/2024,12,,,,,,,,,
RWC7,02/10/2024,12,,,,,,,,,
RWC7,31/10/2024,12,,,,,,,,,
RWC7,28/11/2024,12,,,,,,,,,
RWC7,18/12/2024,12,,,,,,,,,
RWC7,21/01/2025,12,,,,,,,,,
RWC7,18/02/2025,12,,,,,,,,,
RWC7,18/03/2025,12,,,,,,,,,
RWC71,14/08/2024,12,,,,,,,,,
RWC71,09/10/2024,12,,,,,,,,,
RWC71,06/11/2024,12,,,,,,,,,
RWC71,09/11/2024,12,,,,,,,,,
RWC71,03/12/2024,12,,,,,,,,,
RWC71,02/01/2025,12,,,,,,,,,
RWC71,29/01/2025,12,,,,,,,,,
RWC71,26/02/2025,12,,,,,,,,,
RWC71,25/03/2025,£12,,,,,,,,,
RWC71,23/04/2025,£12,,,,,,,,,
RWC71,20/05/2025,£12,,,,,,,,,
RWC71,17/06/2025,£12,,,,,,,,,
RWC72,14/08/2024,12,,,,,,,,,
RWC72,10/10/2024,12,,,,,,,,,
RWC72,06/11/2024,12,,,,,,,,,
RWC72,09/11/2024,12,,,,,,,,,
RWC72,04/12/2024,12,,,,,,,,,
RWC72,02/01/2025,12,,,,,,,,,
RWC72,29/01/2025,12,,,,,,,,,
RWC72,26/02/2025,12,,,,,,,,,
RWC72,25/03/2025,£12,,,,,,,,,
RWC75,02/09/2024,12,,,,,,,,,
RWC75,24/09/2024,12,,,,,,,,,
RWC75,23/10/2024,12,,,,,,,,,
RWC75,22/11/2024,12,,,,,,,,,
RWC75,12/12/2024,12,,,,,,,,,
RWC75,14/01/2025,12,,,,,,,,,
RWC75,11/02/2025,12,,,,,,,,,
RWC75,11/03/2025,12,,,,,,,,,
RWC79,19/08/2024,12,,,,,,,,,
RWC79,15/10/2024,12,,,,,,,,,
RWC79,12/11/2024,12,,,,,,,,,
RWC79,09/12/2024,12,,,,,,,,,
RWC79,07/01/2025,12,,,,,,,,,
RWC79,03/03/2025,12,,,,,,,,,
RWC79,28/04/2025,£12,,,,,,,,,
RWC79,26/05/2025,£12,,,,,,,,,
RWC79,23/06/2025,£12,,,,,,,,,
RWC8,02/09/2024,12,,,,,,,,,
RWC8,23/09/2024,12,,,,,,,,,
RWC8,22/10/2024,12,,,,,,,,,
RWC8,19/11/2024,12,,,,,,,,,
RWC8,10/12/2024,12,,,,,,,,,
RWC8,16/01/2025,12,,,,,,,,,
RWC8,10/02/2025,12,,,,,,,,,
RWC8,10/03/2025,12,,,,,,,,,
RWC8,07/04/2025,£12,,,,,,,,,
RWC8,06/05/2025,£12,,,,,,,,,
RWC8,02/06/2025,£12,,,,,,,,,
RWC8,02/07/2025,£12,,,,,,,,,
RWC88,05/08/2024,12,,,,,,,,,
RWC88,04/09/2024,12,,,,,,,,,
RWC88,04/10/2024,12,,,,,,,,,
RWC88,30/10/2024,12,,,,,,,,,
RWC88,27/11/2024,12,,,,,,,,,
RWC88,17/12/2024,12,,,,,,,,,
RWC88,20/01/2025,12,,,,,,,,,
RWC88,17/02/2025,12,,,,,,,,,
RWC88,17/03/2025,12,,,,,,,,,
RWC88,14/04/2025,£12,,,,,,,,,
RWC88,12/05/2025,£12,,,,,,,,,
RWC88,09/06/2025,£12,,,,,,,,,
RWC88,07/07/2025,£12,,,,,,,,,
RWC94,15/08/2024,12,,,,,,,,,
RWC94,13/09/2024,12,,,,,,,,,
RWC94,11/10/2024,12,,,,,,,,,
RWC94,07/11/2024,12,,,,,,,,,
RWC94,03/12/2024,12,,,,,,,,,
RWC94,03/01/2025,12,,,,,,,,,
RWC94,29/01/2025,12,,,,,,,,,
RWC94,27/02/2025,12,,,,,,,,,
RWC94,26/03/2025,£12,,,,,,,,,
RWC94,24/04/2025,£12,,,,,,,,,
RWC94,22/05/2025,£12,,,,,,,,,
RWC94,18/06/2025,£12,,,,,,,,,
RWC34,24/10/2024,12.5,,,,,,,,,
RWC34,12/02/2025,12.5,,,,,,,,,
RWC347,13/11/2024,12.5,,,,,,,,,
RWC458,17/03/2025,12.5,,,,,,,,,
RWC471,15/05/2025,£13,,,,,,,,,
RWC340,19/09/2024,15,,,,,,,,,
RWC340,17/10/2024,15,,,,,,,,,
RWC340,13/11/2024,15,,,,,,,,,
RWC340,09/12/2024,15,,,,,,,,,
RWC340,05/02/2025,15,,,,,,,,,
RWC340,03/03/2025,15,,,,,,,,,
RWC340,02/04/2025,£15,,,,,,,,,
RWC348,29/04/2025,£15,,,,,,,,,
RWC348,28/05/2025,£15,,,,,,,,,
RWC348,30/06/2025,£15,,,,,,,,,
RWC35,16/04/2025,£15,,,,,,,,,
RWC35,13/05/2025,£15,,,,,,,,,
RWC35,10/06/2025,£15,,,,,,,,,
RWC35,08/07/2025,£15,,,,,,,,,
RWC353,08/08/2024,15,,,,,,,,,
RWC353,06/09/2024,15,,,,,,,,,
RWC353,03/10/2024,15,,,,,,,,,
RWC353,01/11/2024,15,,,,,,,,,
RWC353,28/11/2024,15,,,,,,,,,
RWC353,20/12/2024,15,,,,,,,,,
RWC353,23/01/2025,15,,,,,,,,,
RWC353,19/02/2025,15,,,,,,,,,
RWC353,19/03/2025,15,,,,,,,,,
RWC353,17/04/2025,£15,,,,,,,,,
RWC353,14/05/2025,£15,,,,,,,,,
RWC353,10/06/2025,£15,,,,,,,,,
RWC353,10/07/2025,£15,,,,,,,,,
RWC354,08/08/2024,15,,,,,,,,,
RWC354,06/09/2024,15,,,,,,,,,
RWC354,03/10/2024,15,,,,,,,,,
RWC354,01/11/2024,15,,,,,,,,,
RWC354,28/11/2024,15,,,,,,,,,
RWC354,20/12/2024,15,,,,,,,,,
RWC354,23/01/2025,15,,,,,,,,,
RWC354,19/02/2025,15,,,,,,,,,
RWC354,19/03/2025,15,,,,,,,,,
RWC360,13/08/2024,15,,,,,,,,,
RWC360,09/09/2024,15,,,,,,,,,
RWC360,09/10/2024,15,,,,,,,,,
RWC360,08/11/2024,15,,,,,,,,,
RWC360,02/12/2024,15,,,,,,,,,
RWC360,31/12/2024,15,,,,,,,,,
RWC360,28/01/2025,15,,,,,,,,,
RWC360,25/02/2025,15,,,,,,,,,
RWC360,24/03/2025,£15,,,,,,,,,
RWC362,06/08/2024,15,,,,,,,,,
RWC362,04/09/2024,15,,,,,,,,,
RWC362,04/10/2024,15,,,,,,,,,
RWC362,30/10/2024,15,,,,,,,,,
RWC362,27/11/2024,15,,,,,,,,,
RWC362,17/12/2024,15,,,,,,,,,
RWC362,21/01/2025,15,,,,,,,,,
RWC362,17/02/2025,15,,,,,,,,,
RWC362,17/03/2025,15,,,,,,,,,
RWC367,22/04/2025,£15,,,,,,,,,
RWC367,19/05/2025,£15,,,,,,,,,
RWC367,16/06/2025,£15,,,,,,,,,
RWC369,26/08/2024,15,,,,,,,,,
RWC369,23/09/2024,15,,,,,,,,,
RWC369,22/10/2024,15,,,,,,,,,
RWC369,18/11/2024,15,,,,,,,,,
RWC369,10/12/2024,15,,,,,,,,,
RWC369,16/01/2025,15,,,,,,,,,
RWC369,10/02/2025,15,,,,,,,,,
RWC369,10/03/2025,15,,,,,,,,,
RWC369,07/04/2025,£15,,,,,,,,,
RWC369,06/05/2025,£15,,,,,,,,,
RWC369,02/06/2025,£15,,,,,,,,,
RWC369,30/06/2025,£15,,,,,,,,,
RWC370,13/08/2024,15,,,,,,,,,
