Account Number,Date,Amount (£)
RWC1,02/08/2024,12
RWC1,30/08/2024,12
RWC1,26/09/2024,12
RWC1,24/10/2024,12
RWC1,22/11/2024,12
RWC1,16/12/2024,12
RWC1,16/12/2024,12
RWC1,15/01/2025,12
RWC1,12/02/2025,12
RWC1,12/03/2025,12
RWC1,09/04/2025,£12
RWC1,08/05/2025,£12
RWC1,04/06/2025,£24
RWC1,02/07/2025,£12
RWC10,20/08/2024,10
RWC10,17/09/2024,10
RWC10,15/10/2024,10
RWC10,12/11/2024,10
RWC10,05/12/2024,10
RWC10,07/01/2025,10
RWC10,07/01/2025,10
RWC10,30/01/2025,10
RWC10,04/03/2025,10
RWC10,01/04/2025,£10
RWC10,28/04/2025,£10
RWC10,26/05/2025,£10
RWC10,23/06/2025,£10
RWC100,21/08/2024,15
RWC100,17/09/2024,15
RWC100,16/10/2024,15
RWC100,13/11/2024,15
RWC100,05/12/2024,15
RWC100,08/01/2025,15
RWC100,04/02/2025,15
RWC100,05/03/2025,15
RWC100,01/04/2025,£15
RWC100,28/04/2025,£15
RWC100,27/05/2025,£15
RWC100,23/06/2025,£15
RWC101,19/08/2024,15
RWC101,15/10/2024,15
RWC101,09/12/2024,15
RWC101,30/01/2025,15
RWC101,26/05/2025,£15
RWC102,20/08/2024,15
RWC102,16/09/2024,15
RWC102,15/10/2024,15
RWC102,12/11/2024,15
RWC102,05/12/2024,15
RWC102,07/01/2025,15
RWC102,30/01/2025,15
RWC102,04/03/2025,15
RWC102,01/04/2025,£15
RWC102,28/04/2025,£18
RWC102,26/05/2025,£18
RWC102,23/06/2025,£18
RWC104,06/09/2024,15
RWC104,01/11/2024,15
RWC104,19/12/2024,15
RWC104,20/02/2025,15
RWC104,14/04/2025,£15
RWC104,21/04/2025,£0
RWC104,11/06/2025,£15
RWC105,06/08/2024,6
RWC105,04/09/2024,6
RWC105,01/10/2024,6
RWC105,31/10/2024,6
RWC105,28/11/2024,6
RWC105,17/12/2024,6
RWC105,21/01/2025,6
RWC105,18/02/2025,6
RWC105,18/03/2025,6
RWC105,15/04/2025,8
RWC105,13/05/2025,8
RWC105,09/06/2025,8
RWC105,08/07/2025,8
RWC106,05/09/2024,40
RWC106,31/10/2024,40
RWC106,18/12/2024,40
RWC106,18/02/2025,40
RWC106,10/06/2025,£45
RWC107,05/08/2024,20
RWC107,03/09/2024,64
RWC107,03/09/2024,20
RWC107,04/10/2024,20
RWC107,30/10/2024,20
RWC107,27/11/2024,20
RWC107,17/12/2024,20
RWC107,20/01/2025,20
RWC107,17/02/2025,20
RWC107,17/03/2025,20
RWC107,14/04/2025,£20
RWC107,12/05/2025,£22
RWC107,09/06/2025,£22
RWC107,07/07/2025,£22
RWC108,20/08/2024,12
RWC108,16/09/2024,12
RWC108,15/10/2024,12
RWC108,12/11/2024,12
RWC108,05/12/2024,12
RWC108,07/01/2025,12
RWC108,30/01/2025,12
RWC108,03/03/2025,12
RWC108,01/04/2025,£12
RWC108,28/04/2025,£12
RWC108,26/05/2025,£12
RWC108,23/06/2025,£12
RWC109,21/08/2024,12
RWC109,18/09/2024,12
RWC109,16/10/2024,12
RWC109,13/11/2024,12
RWC109,05/12/2024,12
RWC109,08/01/2025,12
RWC109,04/02/2025,12
RWC109,05/03/2025,12
RWC109,01/04/2025,£6
RWC109,29/04/2025,£12
RWC109,27/05/2025,£12
RWC109,23/06/2025,£12
RWC11,02/09/2024,12
RWC11,23/09/2024,12
RWC11,22/10/2024,12
RWC11,19/11/2024,12
RWC11,10/12/2024,12
RWC11,16/01/2025,12
RWC11,10/02/2025,12
RWC11,10/03/2025,12
RWC11,07/04/2025,£12
RWC11,06/05/2025,£12
RWC11,02/06/2025,£12
RWC11,02/07/2025,£12
RWC110,14/08/2024,20
RWC110,10/10/2024,20
RWC110,03/12/2024,20
RWC110,29/01/2025,20
RWC110,26/02/2025,10
RWC110,23/04/2025,£20
RWC110,17/06/2025,£20
RWC111,13/08/2024,20
RWC111,09/10/2024,20
RWC111,03/12/2024,20
RWC111,28/01/2025,20
RWC111,26/02/2025,20
RWC111,25/03/2025,£20
RWC111,20/05/2025,£20
RWC112,12/08/2024,15
RWC112,09/09/2024,15
RWC112,08/10/2024,15
RWC112,05/11/2024,15
RWC112,02/12/2024,15
RWC112,31/12/2024,15
RWC112,27/01/2025,15
RWC112,24/02/2025,15
RWC112,24/03/2025,£15
RWC112,22/04/2025,£18
RWC112,19/05/2025,£18
RWC112,16/06/2025,£18
RWC113,15/08/2024,18
RWC113,11/10/2024,18
RWC113,03/12/2024,18
RWC113,29/01/2025,18
RWC113,27/02/2025,18
RWC113,24/04/2025,£18
RWC113,18/06/2025,£18
RWC114,15/08/2024,20
RWC114,11/10/2024,20
RWC114,03/12/2024,20
RWC114,29/01/2025,20
RWC114,27/02/2025,20
RWC114,26/03/2025,£20
RWC114,24/04/2025,£20
RWC114,22/05/2025,£20
RWC114,18/06/2025,£20
RWC115,21/08/2024,15
RWC115,17/09/2024,15
RWC115,16/10/2024,15
RWC115,13/11/2024,15
RWC115,05/12/2024,15
RWC115,08/01/2025,15
RWC115,04/02/2025,15
RWC115,05/03/2025,15
RWC115,01/04/2025,£15
RWC115,28/04/2025,£18
RWC115,27/05/2025,£18
RWC115,23/06/2025,£18
RWC116,21/08/2024,18
RWC116,18/09/2024,18
RWC116,16/10/2024,18
RWC116,13/11/2024,18
RWC116,05/12/2024,18
RWC116,08/01/2025,18
RWC116,04/02/2025,18
RWC116,05/03/2025,18
RWC116,01/04/2025,£18
RWC116,28/04/2025,£18
RWC116,27/05/2025,£18
RWC116,23/06/2025,£18
RWC117,18/09/2024,40
RWC117,13/11/2024,40
RWC117,08/01/2025,40
RWC117,05/03/2025,40
RWC117,29/04/2025,£40
RWC118,23/09/2024,40
RWC118,19/11/2024,40
RWC118,16/01/2025,40
RWC118,10/03/2025,40
RWC118,06/05/2025,£40
RWC118,02/07/2025,£40
RWC119,03/09/2024,35
RWC119,24/10/2024,35
RWC119,13/12/2024,35
RWC119,12/02/2025,35
RWC119,09/04/2025,£35
RWC119,03/06/2025,£35
RWC12,21/08/2024,8
RWC12,18/09/2024,8
RWC12,16/10/2024,8
RWC12,13/11/2024,8
RWC12,05/12/2024,8
RWC12,08/01/2025,8
RWC12,04/02/2025,8
RWC12,05/03/2025,8
RWC12,01/04/2025,£8
RWC12,29/04/2025,£10
RWC12,27/05/2025,£10
RWC12,23/06/2025,£10
RWC120,14/08/2024,30
RWC120,04/12/2024,30
RWC120,29/01/2025,30
RWC120,26/02/2025,30
RWC120,23/04/2025,£35
RWC120,18/06/2025,£35
RWC121,19/08/2024,18
RWC121,16/09/2024,18
RWC121,15/10/2024,18
RWC121,12/11/2024,18
RWC121,12/11/2024,30
RWC121,12/11/2024,30
RWC121,09/12/2024,18
RWC121,07/01/2025,18
RWC121,30/01/2025,18
RWC121,03/03/2025,18
RWC121,28/04/2025,£18
RWC121,26/05/2025,£18
RWC121,23/06/2025,£18
RWC121,11/07/2025,£18
RWC122,27/08/2024,15
RWC122,24/09/2024,15
RWC122,23/10/2024,15
RWC122,29/10/2024,38
RWC122,29/10/2024,60
RWC122,19/11/2024,15
RWC122,12/12/2024,15
RWC122,14/01/2025,15
RWC122,11/02/2025,15
RWC122,11/03/2025,15
RWC122,08/04/2025,£15
RWC122,06/05/2025,£15
RWC122,02/06/2025,£15
RWC122,01/07/2025,£15
RWC123,12/08/2024,22
RWC123,08/10/2024,22
RWC123,02/12/2024,22
RWC123,27/01/2025,22
RWC123,24/02/2025,22
RWC123,21/04/2025,£22
RWC123,16/06/2025,£22
RWC124,03/09/2024,25
RWC124,24/10/2024,25
RWC124,13/12/2024,25
RWC124,12/02/2025,25
RWC124,09/04/2025,£30
RWC124,03/06/2025,£30
RWC125,09/08/2024,30
RWC125,03/10/2024,30
RWC125,29/11/2024,30
RWC125,23/01/2025,30
RWC125,19/03/2025,30
RWC125,15/05/2025,£30
RWC125,10/07/2025,£30
RWC126,30/08/2024,30
RWC126,25/10/2024,30
RWC126,16/12/2024,30
RWC126,13/02/2025,30
RWC126,10/04/2025,£30
RWC126,04/06/2025,£30
RWC127,20/08/2024,15
RWC127,16/09/2024,15
RWC127,15/10/2024,15
RWC127,12/11/2024,15
RWC127,05/12/2024,15
RWC127,07/01/2025,15
RWC127,30/01/2025,15
RWC127,03/03/2025,15
RWC127,28/04/2025,£15
RWC127,26/05/2025,£15
RWC127,23/06/2025,£15
RWC128,20/08/2024,20
RWC128,16/10/2024,20
RWC128,05/12/2024,20
RWC128,04/02/2025,20
RWC128,01/04/2025,£20
RWC128,27/05/2025,£20
RWC128,27/05/2025,£36
RWC128,27/05/2025,£96
RWC129,02/08/2024,20
RWC129,25/09/2024,4
RWC129,25/09/2024,20
RWC129,25/11/2024,5
RWC129,25/11/2024,30
RWC129,25/11/2024,20
RWC129,13/01/2025,20
RWC129,13/03/2025,20
RWC129,08/05/2025,£20
RWC129,03/07/2025,£20
RWC13,07/08/2024,12
RWC13,05/09/2024,12
RWC13,02/10/2024,12
RWC13,31/10/2024,12
RWC13,28/11/2024,12
RWC13,18/12/2024,12
RWC13,21/01/2025,12
RWC13,18/02/2025,12
RWC13,18/03/2025,12
RWC13,16/04/2025,£15
RWC13,13/05/2025,£15
RWC13,10/06/2025,£15
RWC13,08/07/2025,£15
RWC130,23/09/2024,30
RWC130,18/11/2024,30
RWC130,16/01/2025,30
RWC130,10/03/2025,30
RWC130,06/05/2025,£30
RWC130,30/06/2025,£30
RWC131,24/09/2024,25
RWC131,19/11/2024,25
RWC131,14/01/2025,25
RWC131,11/03/2025,25
RWC131,06/05/2025,£25
RWC131,01/07/2025,£25
RWC132,21/08/2024,15
RWC132,18/09/2024,15
RWC132,17/10/2024,15
RWC132,13/11/2024,15
RWC132,09/12/2024,15
RWC132,09/01/2025,15
RWC132,05/02/2025,15
RWC132,03/03/2025,15
RWC132,02/04/2025,£15
RWC132,29/04/2025,£15
RWC132,27/05/2025,£15
RWC132,25/06/2025,£15
RWC133,21/08/2024,20
RWC133,16/10/2024,20
RWC133,05/12/2024,20
RWC133,04/02/2025,20
RWC133,01/04/2025,£20
RWC133,27/05/2025,£22
RWC134,13/08/2024,20
RWC134,09/09/2024,20
RWC134,09/10/2024,36
RWC134,09/10/2024,20
RWC134,06/11/2024,20
RWC134,03/12/2024,20
RWC134,02/01/2025,20
RWC134,28/01/2025,20
RWC134,25/02/2025,20
RWC134,25/03/2025,£20
RWC134,23/04/2025,£22
RWC134,20/05/2025,£22
RWC134,17/06/2025,£22
RWC135,13/08/2024,12
RWC135,09/09/2024,12
RWC135,09/10/2024,12
RWC135,08/11/2024,12
RWC135,03/12/2024,12
RWC135,31/12/2024,12
RWC135,28/01/2025,12
RWC135,25/02/2025,12
RWC135,24/03/2025,£12
RWC135,22/04/2025,£12
RWC135,19/05/2025,£12
RWC135,17/06/2025,£12
RWC136,13/08/2024,18
RWC136,09/10/2024,18
RWC136,03/12/2024,9
RWC136,28/01/2025,9
RWC136,25/03/2025,£18
RWC136,20/05/2025,£22
RWC137,23/09/2024,15
RWC137,22/10/2024,15
RWC137,19/11/2024,15
RWC137,11/12/2024,15
RWC137,16/01/2025,15
RWC137,10/02/2025,15
RWC137,10/03/2025,15
RWC137,02/06/2025,£18
RWC137,01/07/2025,£18
RWC138,13/08/2024,12
RWC138,09/09/2024,12
RWC138,09/10/2024,12
RWC138,06/11/2024,12
RWC138,03/12/2024,12
RWC138,02/01/2025,12
RWC138,28/01/2025,12
RWC138,25/02/2025,12
RWC138,25/03/2025,£12
RWC138,23/04/2025,£12
RWC138,20/05/2025,£12
RWC138,17/06/2025,£12
RWC139,01/08/2024,18
RWC139,28/08/2024,18
RWC139,25/09/2024,18
RWC139,24/10/2024,18
RWC139,22/11/2024,18
RWC139,12/12/2024,18
RWC139,15/01/2025,18
RWC139,12/03/2025,18
RWC139,08/04/2025,£18
RWC139,05/05/2025,£18
RWC139,03/06/2025,£18
RWC139,02/07/2025,£18
RWC14,02/09/2024,10
RWC14,23/10/2024,10
RWC14,12/12/2024,10
RWC14,11/02/2025,10
RWC14,08/04/2025,£10
RWC14,03/06/2025,£10
RWC140,02/08/2024,12
RWC140,29/08/2024,12
RWC140,26/09/2024,12
RWC140,24/10/2024,12
RWC140,26/11/2024,12
RWC140,16/12/2024,12
RWC140,15/01/2025,12
RWC140,12/02/2025,12
RWC140,12/03/2025,12
RWC140,09/04/2025,£12
RWC140,07/05/2025,£12
RWC140,04/06/2025,£12
RWC140,03/07/2025,£12
RWC141,13/08/2024,8
RWC141,09/09/2024,8
RWC141,10/10/2024,15
RWC141,06/11/2024,7.5
RWC141,02/12/2024,15
RWC141,31/12/2024,15
RWC141,28/01/2025,15
RWC141,25/02/2025,15
RWC141,24/03/2025,£8
RWC141,22/04/2025,£15
RWC141,19/05/2025,£8
RWC141,16/06/2025,£15
RWC143,04/09/2024,22
RWC143,30/10/2024,22
RWC143,17/12/2024,22
RWC143,18/02/2025,22
RWC143,15/04/2025,£22
RWC143,09/06/2025,£22
RWC144,19/08/2024,12
RWC144,09/12/2024,0
RWC144,28/04/2025,£12
RWC144,26/05/2025,£12
RWC144,23/06/2025,£12
RWC145,19/08/2024,12
RWC145,16/09/2024,12
RWC145,15/10/2024,12
RWC145,12/11/2024,12
RWC145,09/12/2024,12
RWC145,07/01/2025,12
RWC145,30/01/2025,12
RWC145,03/03/2025,12
RWC145,28/04/2025,£12
RWC145,26/05/2025,£12
RWC145,23/06/2025,£12
RWC146,07/08/2024,18
RWC146,02/10/2024,18
RWC146,28/11/2024,18
RWC146,21/01/2025,18
RWC146,18/03/2025,18
RWC146,13/05/2025,£18
RWC146,08/07/2025,£18
RWC147,06/08/2024,15
RWC147,01/10/2024,15
RWC147,28/11/2024,15
RWC147,21/01/2025,15
RWC147,18/03/2025,15
RWC147,13/05/2025,18
RWC147,08/07/2025,£18
RWC148,03/09/2024,18
RWC148,29/10/2024,18
RWC148,22/11/2024,18
RWC148,12/12/2024,18
RWC148,14/01/2025,18
RWC148,12/02/2025,18
RWC148,11/03/2025,18
RWC148,08/04/2025,£18
RWC148,05/05/2025,£18
RWC148,03/06/2025,£18
RWC148,02/07/2025,£18
RWC149,01/10/2024,22
RWC149,21/01/2025,22
RWC149,13/05/2025,£22
RWC15,02/08/2024,15
RWC15,29/08/2024,15
RWC15,26/09/2024,15
RWC15,25/10/2024,15
RWC15,22/11/2024,15
RWC15,16/12/2024,15
RWC15,15/01/2025,15
RWC15,13/02/2025,15
RWC15,13/03/2025,15
RWC15,09/04/2025,£18
RWC15,07/05/2025,£18
RWC15,04/06/2025,£18
RWC15,03/07/2025,£18
RWC150,09/09/2024,22
RWC150,05/11/2024,22
RWC150,31/12/2024,22
RWC150,25/02/2025,22
RWC150,23/04/2025,£22
RWC150,17/06/2025,£22
RWC151,04/09/2024,22
RWC151,30/10/2024,22
RWC151,17/12/2024,22
RWC151,18/02/2025,22
RWC151,15/04/2025,£22
RWC151,09/06/2025,£22
RWC152,06/08/2024,18
RWC152,04/09/2024,18
RWC152,30/10/2024,18
RWC152,28/11/2024,18
RWC152,21/01/2025,18
RWC152,18/02/2025,18
RWC152,17/03/2025,18
RWC152,15/04/2025,£26
RWC152,13/05/2025,£22
RWC152,09/06/2025,£22
RWC152,08/07/2025,£22
RWC153,07/08/2024,15
RWC153,05/09/2024,15
RWC153,01/10/2024,15
RWC153,31/10/2024,15
RWC153,28/11/2024,15
RWC153,18/12/2024,15
RWC153,21/01/2025,15
RWC153,18/02/2025,15
RWC153,18/03/2025,15
RWC153,15/04/2025,£18
RWC153,13/05/2025,£18
RWC153,10/06/2025,£18
RWC153,08/07/2025,£18
RWC154,14/08/2024,18
RWC154,10/10/2024,18
RWC154,04/12/2024,18
RWC154,29/01/2025,18
RWC154,26/02/2025,18
RWC154,26/03/2025,£18
RWC154,23/04/2025,£18
RWC154,22/05/2025,£18
RWC154,18/06/2025,£18
RWC155,01/08/2024,30
RWC155,25/09/2024,30
RWC155,26/11/2024,30
RWC155,15/01/2025,30
RWC155,12/03/2025,30
RWC155,07/05/2025,£100
RWC155,07/05/2025,£30
RWC155,02/07/2025,£30
RWC156,15/08/2024,12
RWC156,13/09/2024,12
RWC156,11/10/2024,12
RWC156,07/11/2024,12
RWC156,04/12/2024,12
RWC156,03/01/2025,12
RWC156,29/01/2025,12
RWC156,27/02/2025,12
RWC156,26/03/2025,£12
RWC156,24/04/2025,£12
RWC156,22/05/2025,£12
RWC156,18/06/2025,£12
RWC157,14/08/2024,18
RWC157,10/10/2024,18
RWC157,07/11/2024,18
RWC157,09/11/2024,18
RWC157,04/12/2024,18
RWC157,03/01/2025,18
RWC157,29/01/2025,18
RWC157,26/02/2025,18
RWC157,26/03/2025,18
RWC157,23/04/2025,£18
RWC157,22/05/2025,18
RWC157,18/06/2025,£18
RWC158,08/08/2024,25
RWC158,05/09/2024,25
RWC158,18/12/2024,25
RWC158,22/01/2025,25
RWC158,19/02/2025,25
RWC158,18/03/2025,25
RWC158,18/03/2025,15
RWC158,16/04/2025,£15
RWC158,14/05/2025,£30
RWC158,10/06/2025,£30
RWC158,09/07/2025,£30
RWC159,13/08/2024,25
RWC159,10/10/2024,25
RWC159,03/12/2024,25
RWC159,28/01/2025,25
RWC159,25/03/2025,£25
RWC159,20/05/2025,£25
RWC160,03/09/2024,18
RWC160,24/09/2024,18
RWC160,29/10/2024,18
RWC160,22/11/2024,18
RWC160,12/12/2024,18
RWC160,14/01/2025,18
RWC160,12/02/2025,18
RWC160,11/03/2025,18
RWC160,08/04/2025,£18
RWC160,05/05/2025,£18
RWC160,03/06/2025,£18
RWC160,02/07/2025,£18
RWC161,09/09/2024,22
RWC161,05/11/2024,22
RWC161,31/12/2024,22
RWC161,25/02/2025,22
RWC161,23/04/2025,£22
RWC161,17/06/2025,£22
RWC162,16/12/2024,0
RWC162,13/01/2025,20
RWC162,13/02/2025,20
RWC162,13/03/2025,20
RWC162,09/04/2025,£22
RWC162,07/05/2025,£22
RWC162,04/06/2025,£22
RWC162,03/07/2025,£22
RWC163,03/09/2024,20
RWC163,24/10/2024,20
RWC163,13/12/2024,20
RWC163,12/02/2025,20
RWC163,09/04/2025,20
RWC163,03/06/2025,£20
RWC164,03/09/2024,18
RWC164,29/10/2024,18
RWC164,17/12/2024,18
RWC164,17/02/2025,18
RWC164,17/03/2025,
RWC164,14/04/2025,£18
RWC164,09/06/2025,£22
RWC165,06/08/2024,15
RWC165,04/09/2024,15
RWC165,04/10/2024,15
RWC165,30/10/2024,15
RWC165,27/11/2024,15
RWC165,17/12/2024,15
RWC165,20/01/2025,15
RWC165,17/02/2025,15
RWC165,12/05/2025,£25
RWC165,07/07/2025,£25
RWC166,06/08/2024,15
RWC166,30/10/2024,15
RWC166,17/12/2024,15
RWC166,17/02/2025,15
RWC166,15/04/2025,£15
RWC167,05/08/2024,22
RWC167,04/10/2024,22
RWC167,27/11/2024,22
RWC167,20/01/2025,22
RWC167,17/03/2025,22
RWC167,07/07/2025,£22
RWC168,14/08/2024,12
RWC168,10/10/2024,12
RWC168,06/11/2024,12
RWC168,09/11/2024,12
RWC168,04/12/2024,12
RWC168,02/01/2025,12
RWC168,29/01/2025,12
RWC168,26/02/2025,12
RWC168,25/03/2025,£12
RWC168,23/04/2025,£12
RWC168,20/05/2025,£12
RWC168,17/06/2025,£12
RWC169,02/09/2024,18
RWC169,23/09/2024,18
RWC169,22/10/2024,18
RWC169,19/11/2024,18
RWC169,10/12/2024,18
RWC169,16/01/2025,18
RWC169,10/02/2025,18
RWC169,10/03/2025,18
RWC169,07/04/2025,£18
RWC169,06/05/2025,£18
RWC169,02/06/2025,£18
RWC169,02/07/2025,£18
RWC17,09/09/2024,10
RWC17,05/11/2024,10
RWC17,31/12/2024,10
RWC17,24/02/2025,10
RWC17,22/04/2025,£10
RWC17,16/06/2025,£10
RWC172,21/08/2024,22
RWC172,17/10/2024,22
RWC172,09/12/2024,22
RWC172,05/02/2025,22
RWC172,02/04/2025,22
RWC172,25/06/2025,£22
RWC173,17/10/2024,22
RWC173,10/12/2024,22
RWC173,05/02/2025,22
RWC173,02/04/2025,£22
RWC173,27/05/2025,£22
RWC174,22/08/2024,15
RWC174,16/09/2024,15
RWC174,17/10/2024,15
RWC174,14/11/2024,15
RWC174,10/12/2024,15
RWC174,09/01/2025,15
RWC174,05/02/2025,15
RWC174,04/03/2025,15
RWC174,02/04/2025,£15
RWC174,29/04/2025,£15
RWC174,27/05/2025,£15
RWC174,25/06/2025,£15
RWC175,27/08/2024,25
RWC175,23/10/2024,25
RWC175,11/12/2024,25
RWC175,11/02/2025,25
RWC175,08/04/2025,£25
RWC175,02/06/2025,£25
RWC176,16/09/2024,25
RWC176,14/11/2024,25
RWC176,09/01/2025,25
RWC176,04/03/2025,25
RWC176,29/04/2025,£25
RWC176,25/06/2025,£25
RWC177,02/09/2024,15
RWC177,23/09/2024,15
RWC177,22/10/2024,7.5
RWC177,19/11/2024,15
RWC177,16/01/2025,15
RWC177,10/02/2025,15
RWC177,10/03/2025,15
RWC177,07/04/2025,£15
RWC177,06/05/2025,£15
RWC177,02/06/2025,£15
RWC177,30/06/2025,£15
RWC178,15/08/2024,6
RWC178,13/09/2024,12
RWC178,11/10/2024,12
RWC178,07/11/2024,12
RWC178,03/12/2024,4
RWC178,03/01/2025,6
RWC178,29/01/2025,12
RWC178,27/02/2025,12
RWC178,26/03/2025,£12
RWC178,24/04/2025,£12
RWC178,22/05/2025,£6
RWC178,18/06/2025,£6
RWC179,15/08/2024,22
RWC179,09/10/2024,22
RWC179,03/12/2024,22
RWC179,28/01/2025,22
RWC179,26/02/2025,22
RWC179,23/05/2025,£15
RWC18,19/08/2024,12
RWC18,15/10/2024,12
RWC18,09/12/2024,12
RWC18,30/01/2025,12
RWC18,26/05/2025,£12
RWC180,15/08/2024,12
RWC180,13/09/2024,12
RWC180,11/10/2024,12
RWC180,07/11/2024,12
RWC180,03/12/2024,12
RWC180,03/01/2025,12
RWC180,29/01/2025,12
RWC180,27/02/2025,12
RWC180,26/03/2025,£12
RWC180,24/04/2025,£12
RWC180,22/05/2025,£12
RWC180,18/06/2025,£12
RWC181,03/09/2024,22
RWC181,29/10/2024,22
RWC181,17/12/2024,22
